label,uri,types,vocabulary,domain,range,superproperty
geslacht,https://data.vlaanderen.be/ns/persoon#geslacht,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/persoon,http://www.w3.org/ns/person#Person,http://www.w3.org/2004/02/skos/core#Concept,
gestart op tijdstip,http://www.w3.org/ns/prov#startedAtTime,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
gestructureerde identificator,https://data.vlaanderen.be/ns/generiek#gestructureerdeIdentificator,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/generiek,http://www.w3.org/ns/adms#Identifier,https://data.vlaanderen.be/ns/generiek#GestructureerdeIdentificator,
gesubsidieerde periode,https://data.vlaanderen.be/ns/subsidie#gesubsidieerdePeriode,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/subsidie,https://data.vlaanderen.be/ns/subsidie#RechtsgrondToekenningSubsidie,http://purl.org/dc/terms/PeriodOfTime,
gevolg,http://data.vlaanderen.be/ns/besluit#gevolg,http://www.w3.org/2002/07/owl#DatatypeProperty,http://data.vlaanderen.be/ns/besluit,http://data.vlaanderen.be/ns/besluit#Stemming,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,
gevolg,http://data.vlaanderen.be/ns/mandaat#gevolg,http://www.w3.org/2002/07/owl#ObjectProperty,http://data.vlaanderen.be/ns/mandaat,http://data.vlaanderen.be/ns/mandaat#Verkiezingsresultaat,http://www.w3.org/2004/02/skos/core#Concept,
gevolg,https://data.vlaanderen.be/ns/mobiliteit#gevolg,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/mobiliteit,https://data.vlaanderen.be/ns/mobiliteit#Mobiliteitshindergevolg,http://www.w3.org/2004/02/skos/core#Concept,
gevolg van,http://www.w3.org/ns/org#resultedFrom,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
gevolgd afbetalingsplan,https://data.vlaanderen.be/ns/schuldbeheer#gevolgdAfbetalingsplanonderdeel,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/schuldbeheer,https://data.vlaanderen.be/ns/schuldbeheer#Afbetaling,https://data.vlaanderen.be/ns/schuldbeheer#Afbetalingsplanonderdeel,
gewicht,https://data.vlaanderen.be/ns/slimme-stadsdistributie#Vracht.gewicht,http://www.w3.org/2002/07/owl#DatatypeProperty,https://data.vlaanderen.be/ns/slimme-stadsdistributie,https://data.vlaanderen.be/ns/slimme-stadsdistributie#Vracht,http://www.w3.org/2001/XMLSchema#decimal,
gewichtsklasse,https://data.vlaanderen.be/ns/slimme-stadsdistributie#Resource.gewichtsklasse,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/slimme-stadsdistributie,https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#Resource,https://data.vlaanderen.be/ns/slimme-stadsdistributie#Gewichtsklasse,
gezinsadres,https://data.vlaanderen.be/ns/persoon#gezinsadres,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/persoon,https://data.vlaanderen.be/ns/persoon#Gezin,http://www.w3.org/ns/locn#Address,
gezinsrelatietype,https://data.vlaanderen.be/ns/persoon#gezinsrelatietype,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/persoon,https://data.vlaanderen.be/ns/persoon#Gezinsrelatie,http://www.w3.org/2004/02/skos/core#Concept,
geëindigd op tijdstip,http://www.w3.org/ns/prov#endedAtTime,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
gml,http://www.opengis.net/ont/geosparql#asGML,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
grafischeWeergave,https://data.vlaanderen.be/ns/mobiliteit#grafischeWeergave,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/mobiliteit,http://www.w3.org/2000/01/rdf-schema#Resource,http://xmlns.com/foaf/0.1/Document,
grondslag,https://data.vlaanderen.be/ns/schuldbeheer#grondslag,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/schuldbeheer,https://data.vlaanderen.be/ns/schuldbeheer#Schuldvordering,http://data.europa.eu/eli/ontology#LegalResource,
had deelnemer,http://www.cidoc-crm.org/cidoc-crm/P11_had_participant,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
handelde in opdracht van,https://data.vlaanderen.be/ns/generiek#handeldeInOpdrachtVan,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/generiek,http://www.w3.org/ns/prov#Agent,http://www.w3.org/ns/org#Organization,http://www.w3.org/ns/prov#actedOnBehalfOf
handelt in opdracht van,http://www.w3.org/ns/prov#actedOnBehalfOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
hangt op,https://data.vlaanderen.be/ns/mobiliteit#Bevestiging.hangtOp,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/mobiliteit,https://data.vlaanderen.be/ns/mobiliteit#Bevestiging,https://data.vlaanderen.be/ns/openbaardomein/infrastructuur#Verkeersbord,
heeft aanleiding,https://data.vlaanderen.be/ns/besluitvorming#heeftAanleiding,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/besluitvorming,https://data.vlaanderen.be/ns/besluitvorming#Besluitvormingsaangelegenheid,https://data.vlaanderen.be/ns/besluitvorming#Aanleiding,
heeft aanwezige,http://data.vlaanderen.be/ns/besluit#heeftAanwezige,http://www.w3.org/2002/07/owl#ObjectProperty,http://data.vlaanderen.be/ns/besluit,http://data.vlaanderen.be/ns/besluit#Vergaderactiviteit,http://purl.org/dc/terms/Agent,http://www.w3.org/ns/prov#wasAssociatedWith
heeft aanwezige bij start,http://data.vlaanderen.be/ns/besluit#heeftAanwezigeBijStart,http://www.w3.org/2002/07/owl#ObjectProperty,http://data.vlaanderen.be/ns/besluit,http://data.vlaanderen.be/ns/besluit#Vergaderactiviteit,http://purl.org/dc/terms/Agent,http://data.vlaanderen.be/ns/besluit#heeftAanwezige
heeft accreditatie,http://data.europa.eu/snb/model/elm/accreditation,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft alternatieve uitbating,https://data.vlaanderen.be/ns/logies#heeftAlternatieveUitbating,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/logies,https://data.vlaanderen.be/ns/logies#Logies,https://data.vlaanderen.be/ns/logies#Logies,
heeft antwoord,https://data.vlaanderen.be/ns/mobiliteit#heeftAntwoord,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/mobiliteit,https://data.vlaanderen.be/ns/mobiliteit#Samenwerkingsaanvraag,https://data.vlaanderen.be/ns/mobiliteit#Samenwerkingsantwoord,
heeft authentieke bron,https://data.vlaanderen.be/ns/subsidie#heeftAuthentiekeBron,http://www.w3.org/2002/07/owl#DatatypeProperty,https://data.vlaanderen.be/ns/subsidie,https://data.vlaanderen.be/ns/subsidie#ParametriseerbaarCriteriumvereiste,http://www.w3.org/2001/XMLSchema#boolean,
heeft beschrijving,https://data.vlaanderen.be/ns/logies#heeftBeschrijving,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/logies,http://www.w3.org/1999/02/22-rdf-syntax-ns#Resource,https://data.vlaanderen.be/ns/logies#Beschrijving,
heeft beslissing,https://data.vlaanderen.be/ns/besluitvorming#heeftBeslissing,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/besluitvorming,http://data.vlaanderen.be/ns/besluit#BehandelingVanAgendapunt,https://data.vlaanderen.be/ns/besluitvorming#Beslissingsactiviteit,
heeft betrekking tot,https://data.vlaanderen.be/ns/mobiliteit#heeftBetrekkingTot,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/mobiliteit,https://data.vlaanderen.be/ns/mobiliteit#RuimtelijkConflict,http://www.w3.org/2000/01/rdf-schema#Resource,
heeft bevestiging,https://data.vlaanderen.be/ns/mobiliteit#Draagconstructie.heeftBevestiging,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/mobiliteit,https://data.vlaanderen.be/ns/mobiliteit#DraagconstructieVerkeersborden,https://data.vlaanderen.be/ns/mobiliteit#Bevestiging,
heeft bevestiging,https://data.vlaanderen.be/ns/mobiliteit#Verkeersbord.heeftBevestiging,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/mobiliteit,https://data.vlaanderen.be/ns/openbaardomein/infrastructuur#Verkeersbord,https://data.vlaanderen.be/ns/mobiliteit#Bevestiging,
heeft bijlage,https://data.vlaanderen.be/ns/besluitvorming#heeftBijlage,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/besluitvorming,https://data.vlaanderen.be/ns/dossier#Stuk,https://data.vlaanderen.be/ns/dossier#Stuk,http://purl.org/dc/terms/requires
heeft body,http://www.w3.org/ns/oa#hasBody,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft burgerlijke staat,https://data.vlaanderen.be/ns/persoon#heeftBurgerlijkeStaat,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/persoon,http://www.w3.org/ns/person#Person,https://data.vlaanderen.be/ns/persoon#BurgerlijkeStaat,
heeft component,http://www.cidoc-crm.org/cidoc-crm/P148_has_component,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft conditie,http://www.cidoc-crm.org/cidoc-crm/P44_has_condition,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft contactpunt,http://data.europa.eu/m8g/hasContactPoint,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
