request_method;uri;http_code;file;validation;error
header;https://data.vlaanderen.be/ns/perceel;200;UTF-8 Unicode text, with CRLF, LF, NEL line terminators;;0
extension;https://data.vlaanderen.be/ns/perceel;200;UTF-8 Unicode text, with CRLF, LF, NEL line terminators;;0
header;https://data.vlaanderen.be/ns/persoon;200;UTF-8 Unicode text, with very long lines;;0
extension;https://data.vlaanderen.be/ns/persoon;200;UTF-8 Unicode text, with very long lines;;0
header;https://data.vlaanderen.be/ns/schuldbeheer;200;UTF-8 Unicode text, with very long lines;;0
extension;https://data.vlaanderen.be/ns/schuldbeheer;200;UTF-8 Unicode text, with very long lines;;0
header;https://data.vlaanderen.be/ns/slimmeraadpleegomgeving;200;ASCII text;;0
extension;https://data.vlaanderen.be/ns/slimmeraadpleegomgeving;200;ASCII text;;0
header;https://data.vlaanderen.be/ns/slimme-stadsdistributie;200;UTF-8 Unicode text;;0
extension;https://data.vlaanderen.be/ns/slimme-stadsdistributie;200;UTF-8 Unicode text;;0
header;https://data.vlaanderen.be/ns/statistiek;200;ASCII text, with very long lines;;0
extension;https://data.vlaanderen.be/ns/statistiek;200;ASCII text, with very long lines;;0
header;https://data.vlaanderen.be/ns/subsidie;200;UTF-8 Unicode text;;0
extension;https://data.vlaanderen.be/ns/subsidie;200;UTF-8 Unicode text;;0
header;https://data.vlaanderen.be/ns/toestemming;200;UTF-8 Unicode text, with very long lines;;0
extension;https://data.vlaanderen.be/ns/toestemming;200;UTF-8 Unicode text, with very long lines;;0
header;https://data.vlaanderen.be/ns/transactie;200;UTF-8 Unicode text, with very long lines;;0
extension;https://data.vlaanderen.be/ns/transactie;200;UTF-8 Unicode text, with very long lines;;0
header;https://data.vlaanderen.be/ns/transportnetwerk;200;ASCII text;;0
extension;https://data.vlaanderen.be/ns/transportnetwerk;200;ASCII text;;0
header;https://data.vlaanderen.be/ns/vastgoed;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
extension;https://data.vlaanderen.be/ns/vastgoed;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
header;https://data.vlaanderen.be/ns/verkeersmetingen;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
extension;https://data.vlaanderen.be/ns/verkeersmetingen;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
header;https://data.vlaanderen.be/ns/vrachtwagenparkeren;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
extension;https://data.vlaanderen.be/ns/vrachtwagenparkeren;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
header;https://data.vlaanderen.be/ns/waterkwaliteit;200;UTF-8 Unicode text, with very long lines;;0
extension;https://data.vlaanderen.be/ns/waterkwaliteit;200;UTF-8 Unicode text, with very long lines;;0
header;https://data.vlaanderen.be/ns/weg;200;UTF-8 Unicode text;;0
extension;https://data.vlaanderen.be/ns/weg;200;UTF-8 Unicode text;;0
header;https://implementatie.data.vlaanderen.be/doc/ns/kwaliteit-wegen-en-wegmarkeringen;404;empty;;0
extension;https://implementatie.data.vlaanderen.be/doc/ns/kwaliteit-wegen-en-wegmarkeringen;404;empty;;0
header;https://productencatalogus.data.vlaanderen.be/ns/ipdc-lpdc;200;HTML document, UTF-8 Unicode text, with very long lines, with CRLF, LF, NEL line terminators;ERROR riot :: [line: 1, col: 11] Bad character in IRI (space): <!DOCTYPE[space]...>;0
extension;https://productencatalogus.data.vlaanderen.be/ns/ipdc-lpdc;200;UTF-8 Unicode text, with very long lines, with CRLF, LF, NEL line terminators;;0
header;https://purl.eu/ns/consent;200;HTML document, ASCII text, with very long lines;ERROR riot :: [line: 1, col: 11] Bad character in IRI (space): <!DOCTYPE[space]...>;0
extension;https://purl.eu/ns/consent;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
